,Unnamed: 0,query,reference_contexts,reference_answer,reference_answer_by,query_by,traduccion
0,0,What is being celebrated at the Convento de Religiosas Capuchinas on the fifth day of prayer?,"['Hoy se celebra el quinto día de Oración en el Convento de Religiosas Capuchinas para dar gracias por el feliz parto de la Reina nuestra Señora, con la asistencia de la comunidad de eclesiásticos. El acto comienza a las 10 de la mañana.']",,,ai (gpt-3.5-turbo),¿Qué se está celebrando en el Convento de Religiosas Capuchinas en el quinto día de oración?
1,1,Who is the community that will be in attendance at the event in the Convento de Religiosas Capuchinas?,"['Hoy se celebra el quinto día de Oración en el Convento de Religiosas Capuchinas para dar gracias por el feliz parto de la Reina nuestra Señora, con la asistencia de la comunidad de eclesiásticos. El acto comienza a las 10 de la mañana.']",,,ai (gpt-3.5-turbo),¿Quién es la comunidad que estará presente en el evento en el Convento de Religiosas Capuchinas?
2,2,At what time does the act celebrating the happy birth of the Queen our Lady begin at the Convento de Religiosas Capuchinas?,"['Hoy se celebra el quinto día de Oración en el Convento de Religiosas Capuchinas para dar gracias por el feliz parto de la Reina nuestra Señora, con la asistencia de la comunidad de eclesiásticos. El acto comienza a las 10 de la mañana.']",,,ai (gpt-3.5-turbo),¿A qué hora comienza el acto celebrando el feliz nacimiento de la Reina Nuestra Señora en el Convento de Religiosas Capuchinas?
3,3,How many hectares of farmland does the tenant have in total?,"['Supongamos que un arrendatario tiene 3200 hectáreas de tierras de cultivo; cada año, siembra la mitad y las demás que quedan sin cultivar y se utilizan como alimento para setenta a cien carneros.']",,,ai (gpt-3.5-turbo),¿Cuántas hectáreas de tierras de cultivo tiene el arrendatario en total?
4,4,What is the annual farming practice of the tenant with the farmland?,"['Supongamos que un arrendatario tiene 3200 hectáreas de tierras de cultivo; cada año, siembra la mitad y las demás que quedan sin cultivar y se utilizan como alimento para setenta a cien carneros.']",,,ai (gpt-3.5-turbo),¿Cuál es la práctica agrícola anual del arrendatario con la tierra de cultivo?
5,5,How many sheep are fed with the remaining uncultivated land on the farm?,"['Supongamos que un arrendatario tiene 3200 hectáreas de tierras de cultivo; cada año, siembra la mitad y las demás que quedan sin cultivar y se utilizan como alimento para setenta a cien carneros.']",,,ai (gpt-3.5-turbo),¿Cuántas ovejas se alimentan con la tierra no cultivada restante en la granja?
6,6,Where should the interested person go to discuss the price of the house mentioned in the text?,"['La persona interesada en verla para discutir su precio debe ir a la tienda de D. Manuel Blanco, que vive en la calle de Fuencarral, n. 5. Él informará sobre el Notario encargado de la venta de dicha casa, para poder verificarla con el mejor postor.']",,,ai (gpt-3.5-turbo),¿A dónde debería ir la persona interesada para discutir el precio de la casa mencionada en el texto?
7,7,Who is the person that will provide information about the Notary in charge of the sale of the house?,"['La persona interesada en verla para discutir su precio debe ir a la tienda de D. Manuel Blanco, que vive en la calle de Fuencarral, n. 5. Él informará sobre el Notario encargado de la venta de dicha casa, para poder verificarla con el mejor postor.']",,,ai (gpt-3.5-turbo),¿Quién es la persona que proporcionará información sobre el notario a cargo de la venta de la casa?
8,8,"What is the address of D. Manuel Blanco, who can provide details about the sale of the house on Fuencarral street?","['La persona interesada en verla para discutir su precio debe ir a la tienda de D. Manuel Blanco, que vive en la calle de Fuencarral, n. 5. Él informará sobre el Notario encargado de la venta de dicha casa, para poder verificarla con el mejor postor.']",,,ai (gpt-3.5-turbo),"¿Cuál es la dirección de D. Manuel Blanco, quien puede proporcionar detalles sobre la venta de la casa en la calle Fuencarral?"
9,9,What are the roles and responsibilities of the guards and laborers in the parks according to the information provided?,"['Los guardas y peones de los paseos tienen autorización para evitar que se cometan excesos. En ese caso, podrán confiscar prendas y reportar inmediatamente a un Regidor comisionado para que tome las medidas necesarias conforme a la justicia.']",,,ai (gpt-3.5-turbo),¿Cuáles son los roles y responsabilidades de los guardias y trabajadores en los parques según la información proporcionada?
